High,Low,Open,Close,Volume,Adj Close
356.45001220703125,349.6499938964844,352.3500061035156,355.45001220703125,18380919,355.45001220703125
357.20001220703125,351.3999938964844,354.0,352.3999938964844,18130636,352.3999938964844
349.6000061035156,335.8999938964844,349.0,336.8999938964844,41941144,336.8999938964844
342.75,336.0,337.0,342.04998779296875,29739710,342.04998779296875
347.29998779296875,340.1499938964844,346.0,344.29998779296875,20500542,344.29998779296875
348.29998779296875,342.8500061035156,345.04998779296875,347.1000061035156,16281297,347.1000061035156
346.95001220703125,342.29998779296875,346.95001220703125,344.0,11564970,344.0
347.45001220703125,339.79998779296875,343.0,346.5,15509948,346.5
346.3500061035156,342.54998779296875,345.5,343.79998779296875,10347594,343.79998779296875
343.75,336.95001220703125,343.75,337.8500061035156,13779496,337.8500061035156
344.0,333.79998779296875,335.5,340.04998779296875,21957480,340.04998779296875
345.20001220703125,335.5,343.1000061035156,338.8500061035156,16416903,338.8500061035156
346.25,335.6000061035156,341.0,345.1499938964844,20626861,345.1499938964844
350.70001220703125,343.1499938964844,344.79998779296875,349.3999938964844,24749090,349.3999938964844
354.75,349.6499938964844,350.0,353.20001220703125,17919504,353.20001220703125
357.0,351.25,352.70001220703125,356.54998779296875,15922634,356.54998779296875
359.0,354.29998779296875,355.75,358.1499938964844,15835579,358.1499938964844
363.0,357.25,358.1000061035156,362.1499938964844,29658120,362.1499938964844
365.0,358.70001220703125,362.20001220703125,361.25,22708464,361.25
363.0,358.5,362.79998779296875,361.54998779296875,12348793,361.54998779296875
365.0,360.3500061035156,362.1499938964844,364.5,14482172,364.5
366.70001220703125,363.0,365.25,366.1499938964844,12626285,366.1499938964844
370.8999938964844,366.20001220703125,367.25,367.3999938964844,19252646,367.3999938964844
373.6000061035156,366.0,369.45001220703125,370.6499938964844,30019347,370.6499938964844
368.45001220703125,353.5,368.0,355.29998779296875,27247892,355.29998779296875
360.0,352.5,353.5,359.5,16579914,359.5
361.5,351.29998779296875,360.54998779296875,354.20001220703125,18681819,354.20001220703125
364.0,357.0,358.5,363.20001220703125,20048321,363.20001220703125
366.54998779296875,361.5,363.0,363.6000061035156,14661748,363.6000061035156
365.0,357.6000061035156,364.1000061035156,360.04998779296875,15665939,360.04998779296875
366.0,357.6499938964844,358.5,364.3500061035156,16251836,364.3500061035156
373.54998779296875,363.04998779296875,364.04998779296875,372.3999938964844,17545177,372.3999938964844
373.79998779296875,362.54998779296875,371.95001220703125,363.6499938964844,21691056,363.6499938964844
366.04998779296875,355.1499938964844,365.1000061035156,356.0,22213173,356.0
359.54998779296875,348.70001220703125,356.0,350.8500061035156,19682038,350.8500061035156
353.0,341.0,351.20001220703125,342.20001220703125,27956145,342.20001220703125
344.70001220703125,336.25,341.8500061035156,339.6000061035156,20823143,339.6000061035156
343.20001220703125,337.3999938964844,341.70001220703125,341.29998779296875,19857643,341.29998779296875
346.1499938964844,340.5,340.79998779296875,342.6000061035156,16139052,342.6000061035156
346.54998779296875,336.79998779296875,343.95001220703125,343.79998779296875,17060483,343.79998779296875
346.70001220703125,325.8500061035156,344.3999938964844,327.54998779296875,24437235,327.54998779296875
333.20001220703125,323.8999938964844,325.1000061035156,332.20001220703125,22741445,332.20001220703125
331.5,311.3500061035156,330.79998779296875,317.1499938964844,40853304,317.1499938964844
322.25,307.04998779296875,315.54998779296875,308.45001220703125,64472348,308.45001220703125
302.8500061035156,291.70001220703125,298.45001220703125,300.25,48815899,300.25
304.25,297.25,298.79998779296875,301.3999938964844,30442970,301.3999938964844
302.45001220703125,288.79998779296875,302.3999938964844,289.8999938964844,30820114,289.8999938964844
295.5,285.6000061035156,290.0,294.3500061035156,32929233,294.3500061035156
298.0,290.04998779296875,296.29998779296875,291.3500061035156,23377581,291.3500061035156
291.54998779296875,282.5,290.8999938964844,283.3500061035156,24231272,283.3500061035156
291.25,284.5,285.04998779296875,289.75,18523649,289.75
292.79998779296875,284.29998779296875,287.95001220703125,290.8999938964844,20047399,290.8999938964844
292.3999938964844,286.0,292.0,286.8500061035156,19831459,286.8500061035156
287.3999938964844,280.6499938964844,287.29998779296875,283.70001220703125,23204417,283.70001220703125
285.6000061035156,276.29998779296875,285.5,277.3999938964844,28226325,277.3999938964844
278.29998779296875,267.29998779296875,278.29998779296875,268.54998779296875,27728925,268.54998779296875
275.25,262.70001220703125,267.1000061035156,271.1000061035156,35212444,271.1000061035156
288.0,270.0,288.0,280.20001220703125,64066440,280.20001220703125
288.0,282.6000061035156,284.0,285.70001220703125,45164811,285.70001220703125
286.6499938964844,282.20001220703125,286.6499938964844,284.8999938964844,18979998,284.8999938964844
284.29998779296875,273.29998779296875,283.20001220703125,274.5,27082593,274.5
277.95001220703125,266.8500061035156,0.0,273.8500061035156,45670183,273.8500061035156
